Sukunimi;Yhteensä;;;
Hoisko;127;;;
Holmstedt;127;;;
Jyrälä;127;;;
Kaunonen;127;;;
Kniivilä;127;;;
Kuoppamaa;127;;;
Kärjä;127;;;
Liuha;127;;;
Länsimäki;127;;;
Lääveri;127;;;
Manu;127;;;
Matveinen;127;;;
Modig;127;;;
Mustapää;127;;;
Okko;127;;;
Pekuri;127;;;
Pikkuaho;127;;;
Porko;127;;;
Pöllä;127;;;
Rapatti;127;;;
Seilo;127;;;
Simberg;127;;;
Smedman;127;;;
Smirnov;127;;;
Sotkasiira;127;;;
Sundbäck;127;;;
Sällström;127;;;
Tenkula;127;;;
Viiperi;127;;;
Vuolukka;127;;;
Ylipahkala;127;;;
Aavikko;126;;;
Ahlsved;126;;;
Ala-Heikkilä;126;;;
Cederlöf;126;;;
Elfvengren;126;;;
Heinisuo;126;;;
Holck;126;;;
Idström;126;;;
Ihander;126;;;
Krooks;126;;;
Kämäri;126;;;
Leppiaho;126;;;
Meinander;126;;;
Mettänen;126;;;
Moore;126;;;
Munkki;126;;;
Mäntykenttä;126;;;
Märsylä;126;;;
Nalli;126;;;
Nirkko;126;;;
Nokela;126;;;
Onatsu;126;;;
Pakonen;126;;;
Rasinmäki;126;;;
Rintaniemi;126;;;
Ritanen;126;;;
Räisä;126;;;
Röpelinen;126;;;
Siivikko;126;;;
Skogström;126;;;
Storgård;126;;;
Strömmer;126;;;
Takaluoma;126;;;
Teitto;126;;;
Urhonen;126;;;
Viander;126;;;
Vilska;126;;;
Ahlgrén;125;;;
Alarotu;125;;;
Alfthan;125;;;
Antinoja;125;;;
Byskata;125;;;
Gerkman;125;;;
Hagelin;125;;;
Hankkila;125;;;
Harila;125;;;
Hilliaho;125;;;
Huhtasaari;125;;;
Huunonen;125;;;
Joenpolvi;125;;;
Kallatsa;125;;;
Karihtala;125;;;
Keskinarkaus;125;;;
Kirkkomäki;125;;;
Klaavo;125;;;
Kumpunen;125;;;
Källman;125;;;
Littunen;125;;;
Louhivaara;125;;;
Löfqvist;125;;;
Matala;125;;;
Matinlauri;125;;;
Mustikkamaa;125;;;
Nurmesniemi;125;;;
Reittu;125;;;
Rytilä;125;;;
Santonen;125;;;
Siipo;125;;;
Smirnova;125;;;
Tallbacka;125;;;
Torvela;125;;;
Tyrkkö;125;;;
Vapola;125;;;
Vavuli;125;;;
Viro;125;;;
Virranniemi;125;;;
Vo;125;;;
Yli-Suvanto;125;;;
Ahokangas;124;;;
Airikainen;124;;;
Brax;124;;;
Eteläniemi;124;;;
Finska;124;;;
Frank;124;;;
Fyhr;124;;;
Haili;124;;;
Hedlund;124;;;
Herala;124;;;
Honkaranta;124;;;
Hussain;124;;;
Inget;124;;;
Keskisaari;124;;;
Kotiaho;124;;;
Krohn;124;;;
Kuorilehto;124;;;
Laurikkala;124;;;
Nokka;124;;;
Onkalo;124;;;
Pistemaa;124;;;
Rahnasto;124;;;
Rosten;124;;;
Ruhala;124;;;
Sahanen;124;;;
Sandås;124;;;
Siukonen;124;;;
Thors;124;;;
Tillman;124;;;
Walker;124;;;
Ääri;124;;;
Ahl;123;;;
Aspfors;123;;;
Bruce;123;;;
Do;123;;;
Eskeli;123;;;
Europaeus;123;;;
Haldin;123;;;
Halkosaari;123;;;
Hölli;123;;;
Kanervisto;123;;;
Kevin;123;;;
Koivurova;123;;;
Korpisaari;123;;;
Kortesluoma;123;;;
Korvenoja;123;;;
Kotomäki;123;;;
Kristola;123;;;
Kursu;123;;;
Käpyaho;123;;;
Lammila;123;;;
Lamponen;123;;;
Laulaja;123;;;
Laxström;123;;;
Leiniö;123;;;
Lovén;123;;;
Luukkala;123;;;
Mara;123;;;
Mieskonen;123;;;
Mikkolainen;123;;;
Poikkeus;123;;;
Ravaska;123;;;
Rissa;123;;;
Roschier;123;;;
Saarainen;123;;;
Saksman;123;;;
Siekkeli;123;;;
Teivainen;123;;;
Tervakoski;123;;;
Tiermas;123;;;
Tolppi;123;;;
Törrö;123;;;
Viren;123;;;
Vuorivirta;123;;;
Alaspää;122;;;
Enström;122;;;
Jounila;122;;;
Junna;122;;;
Keski-Korpi;122;;;
Korpiaho;122;;;
Lagerstedt;122;;;
Lostedt;122;;;
Lähteenoja;122;;;
Matkaselkä;122;;;
Moradi;122;;;
Nevanlinna;122;;;
Ollas;122;;;
Ossi;122;;;
Palani;122;;;
Phan;122;;;
Pietiäinen;122;;;
Porvali;122;;;
Postila;122;;;
Pyöriä;122;;;
Pöykiö;122;;;
Rintaluoma;122;;;
Sadinmaa;122;;;
Sarjanen;122;;;
Seppelin;122;;;
Silfvast;122;;;
Tatti;122;;;
Torsti;122;;;
Vuohtoniemi;122;;;
Ylioja;122;;;
Äyräväinen;122;;;
Anteroinen;121;;;
Bergdahl;121;;;
Elomäki;121;;;
Fisk;121;;;
Gyldén;121;;;
Hasunen;121;;;
Hella;121;;;
Ingström;121;;;
Ivars;121;;;
Kamppila;121;;;
Koliseva;121;;;
Krankkala;121;;;
Kulpakko;121;;;
Leväinen;121;;;
Lyyski;121;;;
Mainio;121;;;
Otranen;121;;;
Polo;121;;;
Pura;121;;;
Putus;121;;;
Raikamo;121;;;
Rauvala;121;;;
Ravattinen;121;;;
Remsu;121;;;
Ruohomaa;121;;;
Saarikettu;121;;;
Saarilahti;121;;;
Sarvela;121;;;
Silen;121;;;
Simontaival;121;;;
Sokero;121;;;
Urho;121;;;
Virkamäki;121;;;
von Bonsdorff;121;;;
Ala;120;;;
Andersén;120;;;
Bertell;120;;;
Einiö;120;;;
Hamara;120;;;
Hammarén;120;;;
Högbacka;120;;;
Ihme;120;;;
Jallow;120;;;
Kalin;120;;;
Keltto;120;;;
Kottonen;120;;;
Krigsholm;120;;;
Kälkäinen;120;;;
Kärpänen;120;;;
Köhler;120;;;
Leinikka;120;;;
Martelius;120;;;
Matintalo;120;;;
Mattola;120;;;
Moring;120;;;
Myllyharju;120;;;
Mökkönen;120;;;
Naamanka;120;;;
Pallas;120;;;
Petman;120;;;
Petäjämäki;120;;;
Puura;120;;;
Puusa;120;;;
Raukko;120;;;
Riihimaa;120;;;
Räisälä;120;;;
Sundfors;120;;;
Suojärvi;120;;;
Sääksjärvi;120;;;
Tavast;120;;;
Tikanoja;120;;;
Tupamäki;120;;;
Tuulaniemi;120;;;
Veikkanen;120;;;
Wallgren;120;;;
Ylipelkonen;120;;;
Aalto-Setälä;119;;;
Ahoranta;119;;;
Aittoniemi;119;;;
Annila;119;;;
Arajärvi;119;;;
Broo;119;;;
Dammert;119;;;
Ekonen;119;;;
Granbacka;119;;;
Hasani;119;;;
Hatara;119;;;
Joutsenlahti;119;;;
Junell;119;;;
Korpivaara;119;;;
Kreus;119;;;
Lahdensivu;119;;;
Lainpelto;119;;;
Linjamäki;119;;;
Oravala;119;;;
Peurasaari;119;;;
Poussa;119;;;
Pyykölä;119;;;
Pääjärvi;119;;;
Rajalampi;119;;;
Rautavaara;119;;;
Sahala;119;;;
Salonius;119;;;
Sointu;119;;;
Stengård;119;;;
Suuriniemi;119;;;
Tilander;119;;;
Tiljander;119;;;
Toukonen;119;;;
Tähkä;119;;;
Valto;119;;;
Vanhapiha;119;;;
Viisanen;119;;;
Vilo;119;;;
Wulff;119;;;
Ämmänpää;119;;;
Adamsson;118;;;
Adolfsson;118;;;
Breilin;118;;;
Eerikkilä;118;;;
Forsgren;118;;;
Fyrqvist;118;;;
Hannunen;118;;;
Juupaluoma;118;;;
Jylli;118;;;
Järvistö;118;;;
Karisalmi;118;;;
Kaukanen;118;;;
Keppo;118;;;
Klemelä;118;;;
Koota;118;;;
Korander;118;;;
Kujansivu;118;;;
Kukkanen;118;;;
Kulin;118;;;
Larinen;118;;;
Lemetyinen;118;;;
Lietzén;118;;;
Lindelöf;118;;;
Mali;118;;;
Martinez;118;;;
Muurikainen;118;;;
Näreaho;118;;;
Paulasaari;118;;;
Peränen;118;;;
Puolimatka;118;;;
Pyhäluoto;118;;;
Raikunen;118;;;
Rannanjärvi;118;;;
Rashid;118;;;
Reima;118;;;
Savikurki;118;;;
Simonaho;118;;;
Sirenius;118;;;
Skaffari;118;;;
Tammivuori;118;;;
Taurén;118;;;
Teini;118;;;
Tolkkinen;118;;;
Toura;118;;;
Veteli;118;;;
Vihersaari;118;;;
Värtö;118;;;
Ajanki;117;;;
Asukas;117;;;
Blomgren;117;;;
Bräysy;117;;;
Fihlman;117;;;
Hallman;117;;;
Himmanen;117;;;
Humppi;117;;;
Hurula;117;;;
Isoherranen;117;;;
Juka;117;;;
Karlberg;117;;;
Kingelin;117;;;
Koivuaho;117;;;
Kostian;117;;;
Kursula;117;;;
Kynsilehto;117;;;
Kytömaa;117;;;
Linde;117;;;
Lähtevänoja;117;;;
Löytönen;117;;;
Martinkauppi;117;;;
Mohammad;117;;;
Ojutkangas;117;;;
Perämaa;117;;;
Peuhkurinen;117;;;
Puntala;117;;;
Purtilo;117;;;
Pyörre;117;;;
Rikberg;117;;;
Rinnetmäki;117;;;
Rova;117;;;
Ruikka;117;;;
Rydman;117;;;
Sahin;117;;;
Sarjanoja;117;;;
Siuko;117;;;
Solla;117;;;
Stewart;117;;;
Storbjörk;117;;;
Suotula;117;;;
Svens;117;;;
Talasmäki;117;;;
Tapojärvi;117;;;
Vapalahti;117;;;
Visa;117;;;
Visala;117;;;
Vääränen;117;;;
Wistbacka;117;;;
Amin;116;;;
Avonius;116;;;
Dillström;116;;;
Haahti;116;;;
Helttula;116;;;
Hentula;116;;;
Hussi;116;;;
Kahlos;116;;;
Kalaoja;116;;;
Karioja;116;;;
Kastarinen;116;;;
Kiesilä;116;;;
Kivipuro;116;;;
Kukkala;116;;;
Kuusrainen;116;;;
Kuva;116;;;
Lapveteläinen;116;;;
Lassus;116;;;
Latvalehto;116;;;
Lehmusvirta;116;;;
Martelin;116;;;
Osara;116;;;
Otava;116;;;
Pajuluoma;116;;;
Palojoki;116;;;
Pessala;116;;;
Prusi;116;;;
Prusila;116;;;
Rauhaniemi;116;;;
Rännäli;116;;;
Savelainen;116;;;
Seurujärvi;116;;;
Siili;116;;;
Sonntag;116;;;
Suomäki;116;;;
Söderqvist;116;;;
Tervahartiala;116;;;
Tienvieri;116;;;
Toro;116;;;
Vahter;116;;;
Vigren;116;;;
Viherä;116;;;
Vilonen;116;;;
Vinkka;116;;;
Väärä;116;;;
Wärn;116;;;
Yliselä;116;;;
Aarikka;115;;;
Aarni;115;;;
Alahuhta;115;;;
Alaruikka;115;;;
Bhandari;115;;;
Cavén;115;;;
Ceesay;115;;;
Faltin;115;;;
Flöjt;115;;;
Hannuniemi;115;;;
Hautajoki;115;;;
Hokkinen;115;;;
Häger;115;;;
Häll;115;;;
Ilvesluoto;115;;;
Inha;115;;;
Janger;115;;;
Jousi;115;;;
Katavisto;115;;;
Kivari;115;;;
Korkalo;115;;;
Kämpe;115;;;
Kärmeniemi;115;;;
Lassander;115;;;
Latomaa;115;;;
Lämpsä;115;;;
Mahlakaarto;115;;;
Mantela;115;;;
Marjomäki;115;;;
Nordenswan;115;;;
Norrgrann;115;;;
Rimpinen;115;;;
Ropo;115;;;
Santahuhta;115;;;
Sauna-aho;115;;;
Stenmark;115;;;
Tarhanen;115;;;
Tikanmäki;115;;;
Timgren;115;;;
Tolppa;115;;;
Toriseva;115;;;
Tumelius;115;;;
Viitakoski;115;;;
Wilhelmsson;115;;;
Ylikojola;115;;;
Allinen;114;;;
Asunta;114;;;
Autto;114;;;
Gräsbeck;114;;;
Gylling;114;;;
Günther;114;;;
Heilimo;114;;;
Hellbom;114;;;
Hulmi;114;;;
Jylhänkangas;114;;;
Karkkola;114;;;
Karppelin;114;;;
Kilpivaara;114;;;
Koukonen;114;;;
Lastunen;114;;;
Lintukangas;114;;;
Lundsten;114;;;
Luomi;114;;;
Norman;114;;;
Norring;114;;;
Osmala;114;;;
Palén;114;;;
Piittisjärvi;114;;;
Porali;114;;;
Porttila;114;;;
Sauranen;114;;;
Seuranen;114;;;
Sohkanen;114;;;
Telenius;114;;;
Töykkälä;114;;;
Vakkari;114;;;
Värtinen;114;;;
Widell;114;;;
Yildiz;114;;;
Bexar;113;;;
Eskman;113;;;
Hindersson;113;;;
Huopana;113;;;
Kelo;113;;;
Kiilunen;113;;;
Koistila;113;;;
Kortet;113;;;
Landen;113;;;
Lehmuskallio;113;;;
Lehmusvaara;113;;;
Leikkainen;113;;;
Leppihalme;113;;;
Linnainmaa;113;;;
Luhtasela;113;;;
Läntinen;113;;;
Patteri;113;;;
Putkuri;113;;;
Rautalahti;113;;;
Roppola;113;;;
Ruuhonen;113;;;
Saxberg;113;;;
Siven;113;;;
Suontakanen;113;;;
Tigerstedt;113;;;
Tillander;113;;;
Vallinen;113;;;
Venemies;113;;;
Ventola;113;;;
Vihersalo;113;;;
Virrankoski;113;;;
Ylisaari;113;;;
Ylläsjärvi;113;;;
Ahto;112;;;
Fred;112;;;
Harmainen;112;;;
Hattukangas;112;;;
Holmborg;112;;;
Honkamaa;112;;;
Horto;112;;;
Innala;112;;;
Juoperi;112;;;
Kaitajärvi;112;;;
Kaltio;112;;;
Karhukorpi;112;;;
Karilahti;112;;;
Keltamäki;112;;;
Kontoniemi;112;;;
Kopperoinen;112;;;
Korjula;112;;;
Kuosku;112;;;
Leiponen;112;;;
Lippo;112;;;
Littow;112;;;
Ljung;112;;;
Mäntykangas;112;;;
Mässeli;112;;;
Nortunen;112;;;
Ollinen;112;;;
Orbinski;112;;;
Paasivirta;112;;;
Paldan;112;;;
Palttala;112;;;
Papinkivi;112;;;
Pasula;112;;;
Pellikainen;112;;;
Piela;112;;;
Pirttikangas;112;;;
Rantalaiho;112;;;
Rumbin;112;;;
Salonoja;112;;;
Schönberg;112;;;
Svarvar;112;;;
Tengvall;112;;;
Tienari;112;;;
Tuhkala;112;;;
Turpela;112;;;
Tuuva;112;;;
Vesterholm;112;;;
Vittaniemi;112;;;
Välipakka;112;;;
Wilen;112;;;
Ylisuvanto;112;;;
Alppi;111;;;
Borenius;111;;;
Brännkärr;111;;;
Böhm;111;;;
Carpelan;111;;;
Degerth;111;;;
Eskonen;111;;;
Fredman;111;;;
Haapapuro;111;;;
Herrgård;111;;;
Hillberg;111;;;
Jansén;111;;;
Kadenius;111;;;
Kainlauri;111;;;
Kallioranta;111;;;
Kalliosalo;111;;;
Kantomaa;111;;;
Kettukangas;111;;;
Kilpimaa;111;;;
Korsman;111;;;
Kömi;111;;;
Laatu;111;;;
Laituri;111;;;
Liljander;111;;;
Matsi;111;;;
Morko;111;;;
Musse;111;;;
Ojamaa;111;;;
Palo-oja;111;;;
Pasila;111;;;
Penttala;111;;;
Peräaho;111;;;
Pulska;111;;;
Putila;111;;;
Pälli;111;;;
Päärni;111;;;
Rahimi;111;;;
Rantahalvari;111;;;
Reko;111;;;
Riekko;111;;;
Rosenback;111;;;
Sievinen;111;;;
Siniluoto;111;;;
Sulkala;111;;;
Sutelainen;111;;;
Tanila;111;;;
Thusberg;111;;;
Toroskainen;111;;;
Torro;111;;;
Vilkas;111;;;
Välisalo;111;;;
Väntsi;111;;;
Ylikarjula;111;;;
Abdulle;110;;;
Alikoski;110;;;
Alinen;110;;;
Gren;110;;;
Hallila;110;;;
Hoskonen;110;;;
Huida;110;;;
Kantele;110;;;
Kassinen;110;;;
Ketoja;110;;;
Kyntäjä;110;;;
Laitonen;110;;;
Linder;110;;;
Långstedt;110;;;
Löyttyniemi;110;;;
Mastosalo;110;;;
Mölläri;110;;;
Neste;110;;;
Nordblom;110;;;
Oivo;110;;;
Oljemark;110;;;
Parkkamäki;110;;;
Pasto;110;;;
Piik;110;;;
Piittinen;110;;;
Puha;110;;;
Richter;110;;;
Ruoppa;110;;;
Saares;110;;;
Sairio;110;;;
Saloheimo;110;;;
Takku;110;;;
Tasa;110;;;
Vahlroos;110;;;
Vaismaa;110;;;
Vartiamäki;110;;;
Virenius;110;;;
Vuojärvi;110;;;
Ylitolva;110;;;
Alaniemi;109;;;
Brusin;109;;;
Ekstrand;109;;;
Förström;109;;;
Helppolainen;109;;;
Huoman;109;;;
Hurmalainen;109;;;
Huru;109;;;
Irjala;109;;;
Itälä;109;;;
Kajanne;109;;;
Korkia-aho;109;;;
Kumlander;109;;;
Kurola;109;;;
Kylmä;109;;;
Käyrä;109;;;
Laaksoharju;109;;;
Lintulahti;109;;;
Lyhykäinen;109;;;
Malaska;109;;;
Niemiaho;109;;;
Opas;109;;;
Paloniitty;109;;;
Puljujärvi;109;;;
Pääaho;109;;;
Salimäki;109;;;
Selkee;109;;;
Sipi;109;;;
Särs;109;;;
Tahvonen;109;;;
Töyräs;109;;;
Vähärautio;109;;;
Yang;109;;;
Aatola;108;;;
Ahlstrand;108;;;
Aksila;108;;;
Anttilainen;108;;;
Arvilommi;108;;;
Aurala;108;;;
Bergendahl;108;;;
Dogan;108;;;
Falenius;108;;;
Filpus;108;;;
Gran;108;;;
Hattula;108;;;
Hauta;108;;;
Havo;108;;;
Heini;108;;;
Helaakoski;108;;;
Inki;108;;;
Iskala;108;;;
Jahnsson;108;;;
Joro;108;;;
Jäderholm;108;;;
Knuutti;108;;;
Konkola;108;;;
Kostamovaara;108;;;
Kourunen;108;;;
Källi;108;;;
Lange;108;;;
Lepikko;108;;;
Lindsten;108;;;
Matomäki;108;;;
Merilahti;108;;;
Mäkkeli;108;;;
Mönkäre;108;;;
Nurmiainen;108;;;
Rokkonen;108;;;
Sandén;108;;;
Schulz;108;;;
Thompson;108;;;
Tihveräinen;108;;;
Vilminko;108;;;
Zetterman;108;;;
Blomfelt;107;;;
Bredenberg;107;;;
Brunou;107;;;
Djupsjöbacka;107;;;
Floman;107;;;
Hahtokari;107;;;
Harsunen;107;;;
Hilonen;107;;;
Hyppölä;107;;;
Kaakkurivaara;107;;;
Kangaskolkka;107;;;
Kare;107;;;
Kaukovalta;107;;;
Koppelomäki;107;;;
Kostilainen;107;;;
Käpynen;107;;;
Lillrank;107;;;
Lindbäck;107;;;
Lindkvist;107;;;
Lintinen;107;;;
Mansikkaniemi;107;;;
Mårtensson;107;;;
Mäkimaa;107;;;
Niemimaa;107;;;
Niittymaa;107;;;
Ojakangas;107;;;
Pantsu;107;;;
Pohjoismäki;107;;;
Ristinen;107;;;
Runsala;107;;;
Ruottu;107;;;
Ruutikainen;107;;;
Saarenheimo;107;;;
Saarikangas;107;;;
Siliämaa;107;;;
Sonne;107;;;
Suolahti;107;;;
Suursalmi;107;;;
Talala;107;;;
Trast;107;;;
Virrankari;107;;;
Åke;107;;;
Alopaeus;106;;;
Berger;106;;;
Casagrande;106;;;
Haaraoja;106;;;
Hallinen;106;;;
Havela;106;;;
Hirvijärvi;106;;;
Ilkko;106;;;
Inkeri;106;;;
Jolma;106;;;
Junnonaho;106;;;
Kangasperko;106;;;
Kariluoto;106;;;
Kiskonen;106;;;
Kuitto;106;;;
Kusmin;106;;;
Kutilainen;106;;;
Lintilä;106;;;
Lunki;106;;;
Lyytikkä;106;;;
Malmgren;106;;;
Malmstedt;106;;;
Maunumäki;106;;;
Merenheimo;106;;;
Ohls;106;;;
Okker;106;;;
Pirttijoki;106;;;
Poikselkä;106;;;
Pyyny;106;;;
Pörhölä;106;;;
Romunen;106;;;
Saali;106;;;
Saarivuori;106;;;
Sarkanen;106;;;
Skogman;106;;;
Skrifvars;106;;;
Taberman;106;;;
Timmerbacka;106;;;
Uppa;106;;;
Uurinmäki;106;;;
Vallila;106;;;
Virkajärvi;106;;;
Åkerholm;106;;;
Öling;106;;;
Östberg;106;;;
Alajuuma;105;;;
Aulin;105;;;
Azizi;105;;;
Ehrnsten;105;;;
Filppu;105;;;
Hievanen;105;;;
Honkimaa;105;;;
Itäniemi;105;;;
Kaakko;105;;;
Karim;105;;;
Katajamaa;105;;;
Kause;105;;;
Kiikeri;105;;;
Killström;105;;;
Kivineva;105;;;
Koivulehto;105;;;
Kourula;105;;;
Landström;105;;;
Lasonen;105;;;
Lehtolainen;105;;;
Lindborg;105;;;
Linja;105;;;
Lundelin;105;;;
Maanselkä;105;;;
Malmlund;105;;;
Markoff;105;;;
Mustasilta;105;;;
Mutta;105;;;
Mörö;105;;;
Nevasaari;105;;;
Nokkanen;105;;;
Parkkola;105;;;
Pietola;105;;;
Pukari;105;;;
Puroila;105;;;
Pykälämäki;105;;;
Rantio;105;;;
Riuttamäki;105;;;
Rökman;105;;;
Santaniemi;105;;;
Saxén;105;;;
Seikola;105;;;
Suojala;105;;;
Sysmäläinen;105;;;
Tiili;105;;;
Tiura;105;;;
Tulisalo;105;;;
Vaija;105;;;
Vauhkala;105;;;
Vesterberg;105;;;
Vihervirta;105;;;
Vihtari;105;;;
Viitavaara;105;;;
Vuorensyrjä;105;;;
Ahlblad;104;;;
Anjala;104;;;
Bonn;104;;;
Hagner;104;;;
Huldin;104;;;
Kaisko;104;;;
Kaitanen;104;;;
Kataikko;104;;;
Kinni;104;;;
Koivuneva;104;;;
Korkee;104;;;
Kotaniemi;104;;;
Kotikangas;104;;;
Kuusiluoma;104;;;
Latvajärvi;104;;;
Lewis;104;;;
Lusa;104;;;
Malja;104;;;
Matinaho;104;;;
Mitikka;104;;;
Parvinen;104;;;
Prokkola;104;;;
Pukema;104;;;
Schulman;104;;;
Solismaa;104;;;
Strandell;104;;;
Strömsholm;104;;;
Söderbacka;104;;;
Taivalmäki;104;;;
Tanttari;104;;;
Tupeli;104;;;
Voltti;104;;;
Westerling;104;;;
Ylitolonen;104;;;
Österback;104;;;
Ahveninen;103;;;
Backas;103;;;
Enojärvi;103;;;
Garcia;103;;;
Gottberg;103;;;
Hautalampi;103;;;
Hellstedt;103;;;
Hento;103;;;
Heusala;103;;;
Huiskonen;103;;;
Juottonen;103;;;
Kalijärvi;103;;;
Kallberg;103;;;
Kaulio;103;;;
Kauttio;103;;;
Koste;103;;;
Kuivasniemi;103;;;
Kössi;103;;;
Lalu;103;;;
Lecklin;103;;;
Lindbom;103;;;
Matinlompolo;103;;;
Paksuniemi;103;;;
Patanen;103;;;
Paunu;103;;;
Pihkakoski;103;;;
Pihlajasalo;103;;;
Piisilä;103;;;
Pirkkanen;103;;;
Pirttiaho;103;;;
Pätynen;103;;;
Raula;103;;;
Ridanpää;103;;;
Risberg;103;;;
Ruokangas;103;;;
Ruostetsaari;103;;;
Rönni;103;;;
Skantz;103;;;
Suntila;103;;;
Svanberg;103;;;
Swanljung;103;;;
Taavela;103;;;
Tall;103;;;
Teerikangas;103;;;
Tervanen;103;;;
Toiminen;103;;;
Tynninen;103;;;
Törönen;103;;;
Valovirta;103;;;
Vihma;103;;;
Viirumäki;103;;;
Vilkkilä;103;;;
Widberg;103;;;
Österåker;103;;;
Ademi;102;;;
Björksten;102;;;
Dyster;102;;;
Glader;102;;;
Harjamäki;102;;;
Hatula;102;;;
Hautakorpi;102;;;
Havunen;102;;;
Huhdanmäki;102;;;
Jyrkiäinen;102;;;
Kangaskoski;102;;;
Kehus;102;;;
Keskiaho;102;;;
Keväänranta;102;;;
Krapu;102;;;
Kullström;102;;;
Kyrkkö;102;;;
Lapinniemi;102;;;
Laukas;102;;;
Luopa;102;;;
Monthan;102;;;
Nippala;102;;;
Nääppä;102;;;
Onikki;102;;;
Penninkangas;102;;;
Piekkala;102;;;
Rehmonen;102;;;
Remahl;102;;;
Ristaniemi;102;;;
Rivinoja;102;;;
Robinson;102;;;
Sahari;102;;;
Sidoroff;102;;;
Siuvatti;102;;;
Sved;102;;;
Talvi;102;;;
Tsutsunen;102;;;
Tuhkalainen;102;;;
Virtaniemi;102;;;
Väisälä;102;;;
Weman;102;;;
Ylitervo;102;;;
Åvall;102;;;
Aartolahti;101;;;
Ahosola;101;;;
Ahvenus;101;;;
Appelgren;101;;;
Bastman;101;;;
Brotkin;101;;;
Cederström;101;;;
Hanhivaara;101;;;
Hydén;101;;;
Hyrsky;101;;;
Hämälä;101;;;
Ilmoniemi;101;;;
Jaanu;101;;;
Joenperä;101;;;
Jokivuori;101;;;
Juutila;101;;;
Kailio;101;;;
Kajaste;101;;;
Kangasoja;101;;;
Kangaspunta;101;;;
Karkkonen;101;;;
Kiljala;101;;;
Konttaniemi;101;;;
Kräkin;101;;;
Kulha;101;;;
Kyyriäinen;101;;;
Laajalahti;101;;;
Lahdensuu;101;;;
Lehtimaa;101;;;
Lidman;101;;;
Linnamäki;101;;;
Långbacka;101;;;
Lönnrot;101;;;
Maanpää;101;;;
Marjakoski;101;;;
Mettinen;101;;;
Muje;101;;;
Nordbäck;101;;;
Pajuoja;101;;;
Prami;101;;;
Rajajärvi;101;;;
Rouvari;101;;;
Salmensuo;101;;;
Sara-aho;101;;;
Silmu;101;;;
Soivio;101;;;
Spännäri;101;;;
Sulku;101;;;
Sumiloff;101;;;
Tallus;101;;;
Thurén;101;;;
Tuohimäki;101;;;
Törnvall;101;;;
Vihko;101;;;
Vikkula;101;;;
Vistbacka;101;;;
Väätämöinen;101;;;
Ylisaukko-oja;101;;;
Ölander;101;;;
Alaoja;100;;;
Alapuranen;100;;;
Bauer;100;;;
Bovellan;100;;;
Harala;100;;;
Heinikangas;100;;;
Himmelroos;100;;;
Hinkula;100;;;
Holkeri;100;;;
Huitula;100;;;
Irri;100;;;
Jokilahti;100;;;
Jokivirta;100;;;
Kalavainen;100;;;
Keto-Tokoi;100;;;
Kietäväinen;100;;;
Kuivinen;100;;;
Kuusirati;100;;;
Lamminsalo;100;;;
Maarala;100;;;
Matela;100;;;
Mild;100;;;
Mörn;100;;;
Neijonen;100;;;
Neitola;100;;;
Nipuli;100;;;
Nuttunen;100;;;
Nätti;100;;;
Onttonen;100;;;
Paalijärvi;100;;;
Piirala;100;;;
Putaala;100;;;
Rantakaulio;100;;;
Reivonen;100;;;
Romberg;100;;;
Selänne;100;;;
Shala;100;;;
Sjölind;100;;;
Smulter;100;;;
Sundsten;100;;;
Takatalo;100;;;
Tillanen;100;;;
Vaitiniemi;100;;;
Vesteri;100;;;
Vuontisjärvi;100;;;
Väihkönen;100;;;
Välkky;100;;;
Wiman;100;;;
Airisto;99;;;
Alasuvanto;99;;;
Anttolainen;99;;;
Aspelund;99;;;
Björkstrand;99;;;
Esala;99;;;
Fagernäs;99;;;
Ginman;99;;;
Gunell;99;;;
Holtinkoski;99;;;
Houtsonen;99;;;
Iitti;99;;;
Jaaranen;99;;;
Järvenkylä;99;;;
Kandelin;99;;;
Kangasjärvi;99;;;
Kannas;99;;;
Kantala;99;;;
Karevaara;99;;;
Karhusaari;99;;;
Kastari;99;;;
Kauttu;99;;;
Kerälä;99;;;
Kirvesoja;99;;;
Kuivas;99;;;
Kukonlehto;99;;;
Laaksovirta;99;;;
Lakela;99;;;
Mahmood;99;;;
Melamies;99;;;
Mickos;99;;;
Nukala;99;;;
Oilinki;99;;;
Pajumäki;99;;;
Parta;99;;;
Piesanen;99;;;
Piuva;99;;;
Pohjaranta;99;;;
Putto;99;;;
Raisio;99;;;
Rannanpää;99;;;
Rasinen;99;;;
Rautjärvi;99;;;
Rössi;99;;;
Saarilampi;99;;;
Sabel;99;;;
Savunen;99;;;
Sinko;99;;;
Suninen;99;;;
Thesslund;99;;;
Vaaja;99;;;
Vihermaa;99;;;
Viinikkala;99;;;
Vikholm;99;;;
Villgren;99;;;
Västi;99;;;
Wesslin;99;;;
Åvist;99;;;
Baas;98;;;
Hekkanen;98;;;
Helmi;98;;;
Hillo;98;;;
Horsma;98;;;
Huhtamaa;98;;;
Huohvanainen;98;;;
Högnäs;98;;;
Illukka;98;;;
Kaapro;98;;;
Katisko;98;;;
Kihlman;98;;;
Kirjanen;98;;;
Kivikari;98;;;
Kohtanen;98;;;
Kolhonen;98;;;
Kotti;98;;;
Kuorelahti;98;;;
Laitiainen;98;;;
Lampio;98;;;
Latvasalo;98;;;
Lehmikangas;98;;;
